claim_amount,days_to_report,num_prior_claims,policy_age_years,claim_type,is_fraud
2346.34,4,2,3.79,auto,0
15050.61,3,2,11.8,auto,1
6583.73,3,1,7.78,life,0
4564.71,2,0,9.51,life,0
848.12,0,1,4.32,auto,0
847.98,4,1,15.47,home,0
299.19,5,0,6.64,home,0
10056.15,2,1,7.18,home,0
4595.41,3,0,5.42,life,0
6156.25,7,3,8.97,health,0
104.0,5,2,9.54,health,0
17517.79,3,0,10.83,auto,0
8932.15,1,0,19.37,home,0
1193.44,3,2,18.14,home,0
1003.39,4,1,12.38,auto,0
1013.06,1,0,1.26,auto,0
1813.77,3,2,12.44,auto,0
3719.64,3,1,2.25,auto,0
2827.69,4,2,14.35,auto,0
1721.11,1,0,8.11,auto,0
4731.85,2,0,16.84,auto,0
751.17,3,0,18.88,home,0
1727.58,2,1,8.63,home,0
2281.39,1,0,9.48,auto,0
3044.67,1,1,12.01,life,0
7689.68,3,4,4.34,home,0
1113.68,0,0,18.58,health,0
3610.15,3,2,8.94,life,0
4487.52,1,1,3.75,auto,0
237.82,1,0,15.37,home,0
4676.67,7,3,4.77,home,0
934.81,3,1,3.3,auto,0
336.32,2,0,11.48,auto,0
14868.44,4,0,13.59,health,0
16853.15,4,0,11.61,auto,1
8261.66,0,1,13.3,life,0
1816.44,3,3,2.75,health,0
513.89,3,2,9.78,home,0
5763.75,7,2,7.46,auto,0
2900.45,3,1,19.48,home,0
650.76,2,1,1.47,auto,0
3417.74,4,3,6.32,auto,0
174.97,2,0,18.87,health,0
12002.11,2,1,19.68,auto,0
1497.29,3,0,16.59,home,0
5431.28,0,0,1.98,health,0
1867.73,0,2,11.45,auto,0
3670.55,3,1,8.3,home,0
3956.12,4,0,16.23,home,0
1021.94,6,1,1.57,home,0
17464.04,4,1,4.34,health,0
7461.23,2,2,10.04,life,0
14025.47,2,0,3.57,home,0
11260.76,8,0,14.01,home,0
4555.27,4,1,16.5,home,0
12747.18,3,0,14.24,health,0
463.28,1,2,9.09,home,0
1090.67,2,3,17.63,auto,0
231.41,1,3,3.18,auto,1
1967.66,3,2,5.58,life,0
2460.65,4,1,10.05,auto,0
1582.8,0,0,1.7,home,0
8822.79,2,2,2.37,health,0
2206.13,5,2,8.25,auto,0
1649.01,5,1,18.91,home,0
3912.04,3,1,18.21,auto,0
759.49,1,1,9.59,life,0
8102.42,3,0,3.27,auto,0
387.38,2,1,3.97,home,0
21670.73,5,0,7.86,home,0
7397.42,1,0,4.6,health,0
1107.7,3,2,2.12,auto,0
27.69,3,1,13.64,home,0
8449.48,4,3,11.84,auto,1
6135.48,2,1,6.18,auto,0
6528.31,2,0,15.69,health,0
7376.07,1,0,15.63,auto,0
384.65,0,2,10.07,health,0
2219.46,2,1,2.38,health,0
615.75,2,0,18.41,life,0
9942.65,1,1,13.54,home,0
4881.51,5,1,5.32,auto,0
2009.09,7,1,12.4,home,0
328.34,2,1,8.4,life,0
1862.44,2,1,12.89,health,0
1966.57,2,1,9.74,home,0
6539.38,1,0,9.97,life,0
5074.45,2,1,14.85,health,0
10911.26,2,0,12.47,life,0
3195.33,5,0,2.06,home,0
636.86,0,2,1.77,health,0
6245.63,3,1,6.45,health,0
7151.96,2,0,8.89,auto,0
4119.44,5,2,5.87,life,0
7369.45,3,0,13.2,auto,0
3404.07,5,1,4.3,home,0
3698.39,6,0,14.23,health,0
2789.07,3,2,15.58,home,0
128.74,5,1,2.92,health,0
570.84,2,1,13.19,home,0
159.67,0,2,19.25,auto,0
5058.65,6,2,4.26,auto,0
1886.98,5,3,18.23,home,0
3552.19,3,0,12.32,health,0
11906.33,6,0,12.02,auto,0
1433.69,3,0,1.51,home,0
2641.41,1,1,15.09,auto,0
7043.75,0,0,9.83,health,0
1299.03,2,1,14.56,auto,0
400.52,2,2,16.28,health,0
1710.7,4,0,10.71,auto,0
879.04,5,0,5.64,auto,0
13274.75,1,1,3.26,health,0
8254.44,4,1,3.63,home,0
5017.47,3,2,17.41,home,0
10257.6,2,2,2.91,health,0
8139.84,3,2,8.0,home,0
1032.48,2,1,7.02,health,0
11154.07,3,0,17.38,health,0
3875.5,5,0,9.82,home,0
8236.74,2,1,19.93,auto,0
11321.21,5,0,14.87,auto,0
1913.65,1,0,17.09,life,0
582.96,0,3,2.42,life,0
1293.43,4,1,5.44,auto,0
2785.29,6,0,3.14,auto,0
8519.15,4,1,9.54,auto,0
9856.72,3,0,14.51,home,0
34.88,5,1,3.8,auto,0
3574.38,2,1,3.04,health,0
2701.37,2,3,12.48,life,0
1255.84,2,2,4.99,life,0
638.4,4,1,9.85,auto,0
2059.54,3,1,1.5,life,0
14315.61,5,4,13.77,health,0
1951.92,2,0,11.06,auto,0
3657.26,2,1,13.12,home,0
6070.43,3,0,5.87,health,0
2259.87,3,1,5.93,life,0
17838.99,4,1,16.13,auto,0
16410.05,1,2,14.51,auto,0
1450.31,0,0,11.8,home,0
3438.3,1,2,12.75,life,0
1789.65,4,1,2.33,life,0
1676.25,3,2,17.2,auto,0
187.92,4,1,15.51,auto,0
4702.46,1,0,12.01,life,0
3492.6,5,2,18.41,health,0
264.26,3,0,3.79,life,0
1633.13,4,2,13.89,health,0
11944.3,4,0,19.28,auto,0
1369.3,4,1,6.55,health,0
782.65,1,1,0.8,auto,0
3361.36,4,0,14.83,health,0
21220.18,3,2,0.64,home,0
1385.72,2,4,17.51,life,0
5575.78,5,1,1.6,life,0
7169.44,4,0,13.23,auto,0
1356.67,3,0,7.86,auto,0
6513.74,4,0,4.47,home,0
2292.61,4,1,18.02,health,0
5002.52,3,0,15.05,health,0
5019.19,1,1,7.14,life,0
3836.93,2,1,6.04,home,0
473.15,0,0,14.85,auto,0
9018.22,4,0,16.81,auto,0
1934.05,1,0,14.46,auto,0
1032.16,5,1,12.98,home,0
208.15,1,0,4.94,life,0
4468.89,4,1,17.13,auto,0
5659.26,1,1,15.12,health,0
83.63,6,2,10.59,auto,0
3588.15,4,3,10.48,auto,0
1284.12,1,1,11.6,home,0
5180.62,3,0,16.65,home,0
958.02,3,2,14.97,life,0
5871.06,4,2,17.2,home,0
2444.79,2,1,10.39,auto,0
13801.72,4,2,12.68,health,0
739.72,3,2,17.16,life,0
2085.66,3,0,5.03,home,0
602.22,2,2,9.16,auto,0
12930.95,4,1,12.6,auto,0
10491.67,3,0,18.35,auto,0
1491.64,1,1,0.81,auto,0
5393.81,1,0,4.65,life,0
8497.42,2,0,5.07,auto,0
4050.66,2,0,6.87,home,0
3771.4,1,0,5.99,home,0
1384.39,6,1,12.01,health,0
488.63,2,2,17.77,auto,0
11375.62,5,1,12.92,home,0
11533.87,7,1,5.21,auto,0
5013.35,5,2,17.34,auto,0
2070.23,4,1,12.82,auto,0
2147.84,3,0,4.77,home,0
6472.33,4,2,7.55,auto,0
11370.49,1,2,15.9,home,0
10905.66,2,1,14.91,auto,0
7567.81,4,1,11.74,life,0
5136.55,1,0,3.32,home,0
439.46,4,1,16.16,health,0
881.47,6,0,6.5,auto,0
11441.15,3,2,15.55,health,0
4662.47,1,0,13.13,home,0
46.2,2,2,5.65,auto,0
534.98,4,2,4.64,health,0
5445.81,3,0,3.05,health,0
25.37,1,1,5.22,life,0
876.58,7,0,3.58,health,0
3978.49,2,0,12.53,auto,0
5886.58,5,1,12.18,auto,0
5277.21,6,1,11.93,home,0
1269.75,1,1,13.02,auto,0
6227.09,0,0,16.39,health,0
1354.12,2,2,18.31,home,0
1968.17,3,1,4.99,life,0
6861.79,5,1,11.96,home,0
5243.87,0,2,2.03,home,0
9459.78,0,0,2.84,auto,0
5359.07,3,0,13.26,auto,0
4200.22,4,0,9.99,health,0
491.79,3,3,15.29,life,0
2292.08,4,0,8.8,home,0
1540.8,3,2,2.99,health,0
1398.5,5,1,17.51,home,0
18061.55,6,0,2.12,life,0
2496.94,3,2,4.18,auto,0
11130.28,4,0,5.9,home,0
4986.67,1,0,19.91,home,0
7919.13,3,0,8.63,home,0
3492.18,3,0,10.28,auto,0
4300.78,2,1,15.51,home,0
3391.47,4,1,12.91,home,0
1086.07,3,2,16.91,auto,0
6408.81,5,0,9.99,health,0
1647.89,3,0,19.46,health,0
123.08,3,0,16.04,health,0
5184.84,2,0,8.33,home,0
974.67,0,0,7.93,auto,0
14105.42,4,0,18.63,home,0
15387.81,3,2,13.85,auto,0
12317.55,2,1,12.62,home,0
2311.44,4,3,15.28,auto,0
77.89,6,0,11.44,auto,0
13177.62,4,0,3.6,auto,0
2794.69,4,2,6.72,auto,0
17004.21,2,2,11.38,life,0
16568.68,1,1,0.85,life,0
9586.94,1,1,9.03,home,0
1743.88,1,0,15.24,auto,0
2431.46,4,0,3.7,life,0
9523.63,3,2,1.76,life,0
1905.73,4,3,16.8,health,0
928.59,4,2,12.54,home,0
4068.68,2,0,3.94,auto,0
13756.47,6,1,16.22,auto,0
5954.13,3,0,13.33,health,0
4220.56,1,1,7.02,health,0
